,bed,bath,acre_lot,city,state,zip_code,house_size,prev_sold_date,price
337892,3,2,0.05,Williamstown,New Jersey,8094,1314,1986-12-01,199900
337898,4,2,0.3,Deptford,New Jersey,8096,1215,1988-09-28,215000
337904,3,2,0.07,Williamstown,New Jersey,8094,1310,2022-02-10,305000
337913,3,2,0.07,Swedesboro,New Jersey,8085,1356,2016-10-27,220000
337930,4,3,0.23,Sicklerville,New Jersey,8081,2238,1990-10-15,425000
337954,4,2,0.46,Franklinville,New Jersey,8322,1744,2021-06-17,259900
337964,3,2,0.46,Williamstown,New Jersey,8094,1188,1999-03-12,250000
337969,2,2,0.02,Williamstown,New Jersey,8094,1302,2018-07-24,174900
337972,2,2,0.14,Williamstown,New Jersey,8094,1638,2005-06-22,297900
337973,1,1,3.54,Sewell,New Jersey,8080,576,2020-05-05,549000
337976,2,1,3.5,Williamstown,New Jersey,8094,1479,1990-05-11,119000
337993,4,3,0.4,Williamstown,New Jersey,8094,1920,2013-03-22,304900
337998,2,2,0.16,Williamstown,New Jersey,8094,2171,2017-07-13,435000
338002,3,2,0.06,Pitman,New Jersey,8071,1130,2010-10-20,215000
338010,2,2,0.17,Williamstown,New Jersey,8094,1342,2022-01-14,319900
338013,2,1,0.94,Williamstown,New Jersey,8094,672,1986-09-16,129000
338022,4,2,0.5,Williamstown,New Jersey,8094,1200,1985-04-22,138000
338025,3,1,0.45,Franklinville,New Jersey,8322,1576,1989-12-11,145000
338026,2,2,0.16,Williamstown,New Jersey,8094,1365,2002-06-20,212000
338031,4,2,1.33,Williamstown,New Jersey,8094,1738,2017-11-28,199000
338038,3,2,0.28,Sicklerville,New Jersey,8081,1632,1988-07-21,275000
338040,3,3,0.37,Williamstown,New Jersey,8094,2055,2020-09-22,375000
338051,3,2,0.24,Pennsville,New Jersey,8070,1547,2016-06-09,269900
338056,3,1,0.37,Williamstown,New Jersey,8094,1056,2009-12-29,235000
338067,4,3,0.5,Williamstown,New Jersey,8094,3246,2018-09-25,445000
338072,3,2,0.5,Williamstown,New Jersey,8094,1475,2017-10-05,300000
338074,4,2,0.92,Williamstown,New Jersey,8094,2013,2019-04-05,325000
338081,4,2,0.3,Williamstown,New Jersey,8094,1664,2020-08-12,325000
338083,2,2,0.1,Williamstown,New Jersey,8094,1318,2006-01-20,259000
338086,4,2,0.54,Williamstown,New Jersey,8094,2965,2020-12-14,474900
338096,3,3,0.06,Williamstown,New Jersey,8094,1382,1990-06-04,225000
338100,2,2,0.22,Williamstown,New Jersey,8094,1369,2001-02-22,264900
338107,3,1,0.43,Franklinville,New Jersey,8322,1372,2013-09-26,244969
