,bed,bath,acre_lot,city,state,zip_code,house_size,prev_sold_date,price
314345,4,2,0.11,Manville,New Jersey,8835,1600,2009-04-16,395000
314348,3,4,0.1,Warren Twp,New Jersey,7059,2898,,929215
314353,4,2,0.26,Bound Brook,New Jersey,8805,1800,2011-10-27,475000
314371,3,2,0.21,Bound Brook,New Jersey,8805,1700,2020-09-01,425000
314377,3,1,0.16,Somerville,New Jersey,8876,1237,2000-03-31,269000
314381,5,3,0.42,Bridgewater Twp,New Jersey,8807,2450,2019-09-04,749900
314390,3,3,0.51,Bound Brook,New Jersey,8805,2421,2013-04-26,450000
314396,2,2,0.07,Manville,New Jersey,8835,1350,2020-02-11,345000
314397,3,1,0.18,Manville,New Jersey,8835,988,2017-09-05,319000
314405,5,3,0.21,Piscataway,New Jersey,8854,3041,2020-07-27,875000
314415,4,3,0.13,South Bound Brook,New Jersey,8880,2850,2002-03-04,599900
314416,4,3,0.13,South Bound Brook,New Jersey,8880,2850,,599900
314418,6,6,2.25,Warren Twp,New Jersey,7059,5961,2008-06-02,2379000
314430,6,4,0.29,Morristown,New Jersey,7960,2356,2014-04-22,1049000
314433,4,2,0.22,Bound Brook,New Jersey,8805,1768,2018-11-07,419000
314435,3,1,0.14,Manville,New Jersey,8835,1476,,349900
314436,3,2,0.2,Raritan,New Jersey,8869,1500,,399900
314438,3,2,0.46,Bridgewater Twp,New Jersey,8807,1344,2001-10-25,480000
314441,3,1,0.17,Manville,New Jersey,8835,1398,,289000
314443,3,2,0.17,Manville,New Jersey,8835,1116,2004-11-30,349750
314444,4,4,0.91,Bridgewater Twp,New Jersey,8836,4721,2008-06-09,1200000
314447,4,3,0.14,Bridgewater Twp,New Jersey,8807,2257,1999-02-02,679000
314453,4,3,0.32,Plainfield,New Jersey,7060,2132,,449000
314468,6,4,0.06,Newark,New Jersey,7107,1800,2018-02-15,405000
314470,5,6,1.57,Bernardsville,New Jersey,7924,5406,2003-09-17,1695000
314497,3,2,0.23,Manville,New Jersey,8835,1456,,424900
314514,4,2,0.09,Manville,New Jersey,8835,1900,,369900
314539,5,6,1.22,Bridgewater Twp,New Jersey,8836,4055,2018-06-25,1299000
