,bed,bath,acre_lot,city,state,zip_code,house_size,prev_sold_date,price
294107,2,1,0.04,Brooklyn,New York,11229,656,,535000
294115,3,1,0.05,Brooklyn,New York,11235,740,,368000
294136,7,3,0.06,Brooklyn,New York,11214,4334,,1999000
294137,9,7,0.08,Brooklyn,New York,11228,3840,,2200000
294138,1,1,6.71,New York City,New York,10002,695,,1315000
294141,12,7,0.21,Brooklyn,New York,11224,5100,,2498000
294164,5,3,0.17,Howard Beach,New York,11414,2871,,1050000
294198,3,2,0.04,Brooklyn,New York,11229,1683,,749000
294212,5,3,0.06,New York City,New York,11238,3124,,3750000
294217,4,3,0.09,Brooklyn,New York,11229,2776,,2250000
294274,2,2,0.09,Howard Beach,New York,11414,1088,,639000
294286,2,2,0.04,Brooklyn,New York,11229,1608,,788000
294300,3,2,0.07,Brooklyn,New York,11229,1400,,1300000
294320,14,6,0.08,Brooklyn,New York,11224,5400,,1575000
294321,6,7,0.12,Whitestone,New York,11357,3120,,1980000
294354,4,4,0.05,Brooklyn,New York,11229,2487,,1288000
294467,8,3,0.07,Brooklyn,New York,11235,3096,,1585000
294493,3,2,0.06,Brooklyn,New York,11234,1672,,919000
294506,5,3,0.08,Brooklyn,New York,11236,2024,,900000
294530,5,6,0.05,Brooklyn,New York,11234,3166,,1098000
294531,1,1,0.08,New York City,New York,10022,800,,895000
294533,5,2,0.09,Brooklyn,New York,11210,2633,,3199000
294534,2,2,0.35,New York City,New York,10014,1474,,2950000
294540,3,2,0.05,Brooklyn,New York,11223,1428,,875000
294569,4,2,0.04,Brooklyn,New York,11229,1512,,675000
294575,6,4,0.11,Brooklyn,New York,11229,4185,,989000
294618,3,2,0.05,Brooklyn,New York,11229,1488,,829000
294629,7,5,0.06,Brooklyn,New York,11235,2596,,1499000
294655,4,2,0.07,South Ozone Park,New York,11420,1724,,775000
294670,5,2,0.05,Brooklyn,New York,11229,2144,,989000
294700,2,1,0.02,Brooklyn,New York,11235,595,,398000
294708,5,4,0.09,Brooklyn,New York,11210,2500,,1300000
294724,5,3,0.08,Brooklyn,New York,11236,1529,,749999
294737,7,5,0.05,Brooklyn,New York,11234,2688,,1095000
294753,3,2,0.05,Brooklyn,New York,11234,1280,,939000
294775,3,1,0.06,Queens Village,New York,11427,1568,,735000
294779,4,3,0.08,Jamaica,New York,11436,1936,,950000
294816,6,2,0.06,Brooklyn,New York,11235,2160,,1288000
294845,4,2,0.14,Brooklyn,New York,11234,1473,,998000
294863,2,2,0.03,Brooklyn,New York,11235,1200,,488888
294870,8,6,0.13,Brooklyn,New York,11214,3814,,1488888
294887,3,2,0.1,Jamaica,New York,11414,1200,,749000
294890,4,2,0.09,Brooklyn,New York,11210,2100,,1575000
